rank,score,cat,dup,source,file,path,w,h,aspect,kb,bright,contrast,sat,sharp,d_render
1,8.05,A,UNIQUE,EXTRA,Beirut Streets Skillz.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\Beirut Streets Skillz.jpg,380,266,1.429,16,141.4,86.7,8144.5,28.4,
2,8.04,A,UNIQUE,Flyers,"ACE (Zouk, Kuala Lumpur).jpg","C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\ACE (Zouk, Kuala Lumpur).jpg",850,850,1.0,132,80.4,79.0,6232.9,31.5,
3,7.9,A,UNIQUE,Events,646373486_10233005658859659_6439096460911724183_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\646373486_10233005658859659_6439096460911724183_n.jpg,612,612,1.0,77,69.9,82.1,7492.8,28.7,
4,7.9,A,UNIQUE,Flyers,"Redbull 3Styles (Lebanon, Judge).jpg","C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\Redbull 3Styles (Lebanon, Judge).jpg",1191,1684,0.707,392,143.4,76.5,5707.5,29.8,
5,7.88,A,UNIQUE,EXTRA,466160986_10227716266908166_8666913112085897147_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\466160986_10227716266908166_8666913112085897147_n.jpg,1024,768,1.333,150,104.5,84.4,6602.8,34.7,
6,7.77,D,IN FRAGMENTS,Flyers,Redbul Breaking.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\Redbul Breaking.jpg,421,595,0.708,75,131.9,96.4,9591.2,43.7,
7,7.74,A,UNIQUE,Events,Cambodia Pre Party.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\Cambodia Pre Party.jpg,720,720,1.0,81,72.1,69.5,5130.0,25.2,
8,7.63,D,IN FRAGMENTS,Events,"DMC World Championship (GCC Battles, Dubai).jpg","C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Events\DMC World Championship (GCC Battles, Dubai).jpg",442,332,1.331,31,95.2,87.6,10021.5,30.7,
9,7.55,A,UNIQUE,EXTRA,644331389_10232893042644324_5817311467096704408_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\644331389_10232893042644324_5817311467096704408_n.jpg,612,612,1.0,78,107.6,78.7,7005.0,25.5,
10,7.5,A,UNIQUE,Flyers,466923346_10227791890598711_1219156494770707265_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\466923346_10227791890598711_1219156494770707265_n.jpg,1080,1080,1.0,202,120.6,73.8,6741.3,27.5,
